725, -1176, 650
659, -975, 527
672, -751, 479
681, -569, 368
681, -569, 368
693, -402, 294
668, -248, 277
599, -88, 243
486, 96, 240
257, 246, 156
174, 355, 17
174, 355, 17
187, 448, 37
41, 512, 139
-311, 626, 225
-740, 749, 291
-740, 749, 291
-971, 670, 412
-943, 626, 436
-1260, 622, 621
-1631, 586, 741
-1657, 606, 515
-1829, 572, 526
-1998, 408, 837
-1998, 116, 1076
-1870, 56, 1114
-1974, -4, 1143
-1998, -92, 1119
-1998, -215, 983
-1998, -347, 1148
-1823, -465, 1228
-1560, -488, 1309
-1268, -569, 1303
-931, -812, 1142
-879, -1179, 1295
-673, -1389, 1549
-279, -1517, 1568
23, -1534, 1499
111, -1530, 1319
87, -1452, 999
215, -1206, 869
340, -1000, 802
260, -827, 570
205, -664, 410
104, -521, 317
-63, -450, 158
-,-,-
-615, -1114, 110
-660, -1306, -77
-643, -1544, 23
-675, -1735, 223
-745, -1949, 267
-657, -1998, 396
-393, -1998, 563
-70, -1993, 773
296, -1822, 856
602, -1602, 846
743, -1369, 801
818, -1098, 779
818, -1098, 779
925, -819, 647
1021, -552, 515
955, -275, 339
679, -51, 294
451, 162, 287
334, 439, 281
283, 709, 183
169, 930, -60
169, 930, -60
-71, 1114, -16
-883, 1080, 344
-1208, 898, 384
-776, 751, 360
-680, 763, 387
-1154, 771, 391
-1699, 737, 364
-1812, 642, 246
-1672, 562, 297
-1900, 452, 466
-1998, 406, 861
-1998, 406, 861
-1998, 334, 947
-1998, 284, 1043
-1998, 69, 1189
-1973, 2, 1348
-1704, -290, 926
-1425, -682, 1026
-1315, -1024, 1350
-817, -1206, 1576
-114, -1455, 1774
-32, -1592, 1715
-139, -1470, 1407
79, -1288, 1164
584, -1205, 1006
883, -1190, 841
715, -1066, 434
715, -1066, 434
278, -782, 46
72, -540, -277
66, -486, -344
92, -486, -147
-27, -402, -142
-,-,-
-800, -1293, 225
-944, -1523, 270
-936, -1666, 239
-824, -1744, 214
-590, -1809, 362
-290, -1805, 467
-100, -1797, 520
100, -1735, 600
368, -1593, 671
619, -1392, 661
796, -1154, 742
810, -899, 733
806, -644, 652
845, -372, 512
845, -372, 512
741, -93, 353
477, 169, 331
34, 531, 414
-421, 768, 412
-318, 783, 261
-176, 930, 75
-176, 930, 75
-177, 1057, -436
-447, 1010, -328
-779, 805, 133
-922, 729, 244
-1070, 678, 136
-1309, 613, 162
-1728, 590, 214
-1998, 571, 327
-1998, 562, 484
-1998, 437, 649
-1995, 325, 902
-1871, 163, 1094
-1828, 128, 1330
-1792, 51, 1257
-1663, -218, 1037
-1662, -816, 1008
-1443, -1197, 1175
-874, -1216, 1701
-421, -1410, 1998
-258, -1524, 1998
-327, -1397, 1952
-332, -1122, 1262
-306, -998, 805
-113, -881, 764
285, -737, 614
610, -650, 240
640, -655, -28
376, -643, -60
98, -596, -175
-200, -584, -152
-,-,-
-713, -1310, 310
-809, -1461, 348
-755, -1566, 277
-595, -1640, 249
-475, -1818, 272
-241, -1850, 276
-110, -1832, 389
-19, -1836, 622
113, -1718, 764
245, -1468, 789
410, -1183, 702
589, -953, 596
762, -734, 534
795, -490, 461
672, -235, 372
672, -235, 372
424, 8, 324
198, 206, 245
70, 404, 228
-10, 543, 231
-312, 706, 87
-312, 706, 87
-902, 977, 54
-1302, 1006, 34
-1121, 762, 30
-665, 594, 19
-516, 469, -107
-695, 440, -265
-995, 508, -374
-1343, 512, -373
-1407, 477, -269
-1408, 433, -90
-1795, 447, 185
-1998, 667, 424
-1998, 667, 424
-1998, 609, 813
-1998, 477, 1104
-1858, 312, 1070
-1725, -73, 1057
-1739, -308, 1161
-1643, -488, 1502
-1174, -1185, 1971
-987, -1362, 1998
-797, -1290, 1955
-566, -1183, 1639
-108, -1152, 1245
391, -1144, 936
589, -1097, 596
493, -1009, 296
362, -854, 94
303, -717, -140
351, -609, -246
351, -609, -246
-,-,-
-598, -1254, 339
-683, -1364, 336
-716, -1463, 315
-752, -1504, 236
-862, -1567, 267
-883, -1637, 330
-746, -1644, 301
-463, -1635, 187
-215, -1617, 197
50, -1570, 323
262, -1466, 454
403, -1300, 551
394, -1122, 583
404, -909, 588
404, -909, 588
434, -716, 476
480, -511, 396
451, -266, 311
242, -70, 230
70, 154, 137
-38, 280, 97
-38, 280, 97
-77, 463, 101
-129, 645, -76
-258, 812, -288
-491, 677, -182
-648, 562, -26
-636, 504, -33
-735, 438, -71
-1268, 483, 52
-1268, 483, 52
-1746, 512, 137
-1863, 403, 156
-1843, 258, 360
-1998, 129, 603
-1998, 201, 1037
-1998, 263, 1145
-1998, 106, 1027
-1998, -134, 958
-1948, -398, 1182
-1729, -709, 1551
-1312, -1126, 1673
-773, -1421, 1739
-362, -1565, 1824
105, -1553, 1414
226, -1428, 939
226, -1428, 939
243, -1269, 579
233, -1079, 309
174, -921, 246
-,-,-
-768, -1008, 389
-873, -1228, 114
-889, -1399, 82
-1071, -1516, 221
-1128, -1697, 309
-980, -1782, 570
-886, -1848, 841
-715, -1891, 935
-492, -1897, 814
-245, -1808, 700
43, -1649, 767
291, -1489, 882
509, -1302, 898
647, -1079, 778
690, -841, 575
695, -559, 364
629, -320, 197
528, -86, 109
528, -86, 109
371, 149, 74
179, 309, 73
-2, 423, 67
-30, 546, -29
-30, 546, -29
-4, 691, 35
-173, 811, 201
-597, 885, 309
-1050, 808, 225
-1080, 667, -17
-978, 635, -39
-1126, 652, 242
-1426, 537, 511
-1373, 439, 441
-1373, 439, 441
-1275, 463, 279
-1793, 367, 675
-1998, 418, 1102
-1998, 510, 1250
-1916, 414, 1398
-1793, 58, 1445
-1888, -475, 1419
-1726, -805, 1681
-1452, -919, 1994
-1103, -1121, 1998
